trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
229,18:00:00,18:00:00,8,4,,0,0,1
229,18:12:00,18:12:00,20,5,,0,0,1
229,18:16:00,18:16:00,87,6,,0,0,1
230,17:58:00,17:58:00,4,1,,0,0,1
230,18:05:00,18:05:00,17,2,,0,0,1
230,18:17:00,18:17:00,19,3,,0,0,1
230,18:25:00,18:25:00,8,4,,0,0,1
230,18:37:00,18:37:00,20,5,,0,0,1
230,18:41:00,18:41:00,87,6,,0,0,1
231,18:23:00,18:23:00,4,1,,0,0,1
231,18:30:00,18:30:00,17,2,,0,0,1
231,18:42:00,18:42:00,19,3,,0,0,1
231,18:50:00,18:50:00,8,4,,0,0,1
231,19:02:00,19:02:00,20,5,,0,0,1
231,19:06:00,19:06:00,87,6,,0,0,1
232,18:48:00,18:48:00,4,1,,0,0,1
232,18:55:00,18:55:00,17,2,,0,0,1
232,19:07:00,19:07:00,19,3,,0,0,1
232,19:15:00,19:15:00,8,4,,0,0,1
232,19:27:00,19:27:00,20,5,,0,0,1
232,19:31:00,19:31:00,87,6,,0,0,1
233,19:13:00,19:13:00,4,1,,0,0,1
233,19:20:00,19:20:00,17,2,,0,0,1
233,19:32:00,19:32:00,19,3,,0,0,1
233,19:40:00,19:40:00,8,4,,0,0,1
233,19:52:00,19:52:00,20,5,,0,0,1
233,19:56:00,19:56:00,87,6,,0,0,1
234,12:04:00,12:04:00,87,1,,0,0,1
234,12:12:00,12:12:00,111,2,,0,0,1
235,12:34:00,12:34:00,87,1,,0,0,1
235,12:42:00,12:42:00,111,2,,0,0,1
236,13:04:00,13:04:00,87,1,,0,0,1
236,13:12:00,13:12:00,111,2,,0,0,1
237,06:44:00,06:44:00,62,1,,0,0,1
237,06:46:00,06:46:00,61,2,,0,0,1
237,06:50:00,06:50:00,37,3,,0,0,1
237,06:53:00,06:53:00,103,4,,0,0,1
237,06:59:00,06:59:00,105,5,,0,0,1
237,07:02:00,07:02:00,39,6,,0,0,1
237,07:06:00,07:06:00,104,7,,0,0,1
237,07:12:00,07:12:00,16,8,,0,0,1
239,13:34:00,13:34:00,87,1,,0,0,1
239,13:42:00,13:42:00,111,2,,0,0,1
240,14:04:00,14:04:00,87,1,,0,0,1
240,14:12:00,14:12:00,111,2,,0,0,1
242,14:34:00,14:34:00,87,1,,0,0,1
242,14:42:00,14:42:00,111,2,,0,0,1
243,15:04:00,15:04:00,87,1,,0,0,1
243,15:12:00,15:12:00,111,2,,0,0,1
245,19:38:00,19:38:00,4,1,,0,0,1
245,19:45:00,19:45:00,17,2,,0,0,1
245,19:57:00,19:57:00,19,3,,0,0,1
245,20:05:00,20:05:00,8,4,,0,0,1
245,20:17:00,20:17:00,20,5,,0,0,1
