route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"SV",1,2145,"Ferry Point Park",6106,1,61,15
"SV",1,2146,"Ferry Point Park",6206,1,62,15
"SV",1,2147,"Ferry Point Park",6108,1,61,15
"SV",1,2148,"Ferry Point Park",6208,1,62,15
"SV",1,2149,"Ferry Point Park",6110,1,61,15
"SV",1,2150,"Ferry Point Park",6210,1,62,15
"SV",1,2151,"Ferry Point Park",6307,1,63,15
"SV",1,2152,"Ferry Point Park",6112,1,61,15
"SV",1,2153,"Ferry Point Park",6212,1,62,15
"SV",1,2154,"Ferry Point Park",6309,1,63,15
"SV",1,2155,"Ferry Point Park",6114,1,61,15
"SV",1,2156,"Ferry Point Park",6311,1,63,15
"SV",1,2157,"Wall St./Pier 11",6101,0,61,83
"SV",1,2158,"Wall St./Pier 11",6201,0,62,83
"SV",1,2159,"Wall St./Pier 11",6302,0,63,83
"SV",1,2160,"Wall St./Pier 11",6103,0,61,83
"SV",1,2161,"Wall St./Pier 11",6203,0,62,83
"SV",1,2162,"Wall St./Pier 11",6304,0,63,83
"SV",1,2163,"Wall St./Pier 11",6105,0,61,83
"SV",1,2164,"Wall St./Pier 11",6205,0,62,83
"SV",1,2165,"Wall St./Pier 11",6306,0,63,83
"SV",1,2166,"Wall St./Pier 11",6107,0,61,83
"SV",1,2167,"Wall St./Pier 11",6207,0,62,83
"SV",1,2168,"Wall St./Pier 11",6109,0,61,83
"SV",1,2169,"Wall St./Pier 11",6209,0,62,83
"SV",1,2170,"Wall St./Pier 11",6111,0,61,83
"SV",1,2171,"Wall St./Pier 11",6211,0,62,83
"SV",1,2172,"Wall St./Pier 11",6308,0,63,83
"SV",1,2173,"Wall St./Pier 11",6113,0,61,83
"SV",1,2174,"Wall St./Pier 11",6213,0,62,83
"SV",1,2175,"Wall St./Pier 11",6310,0,63,83
"SV",2,2176,"Ferry Point Park",6201,1,62,15
"SV",2,2177,"Ferry Point Park",6102,1,61,15
"SV",2,2178,"Ferry Point Park",6203,1,62,15
"SV",2,2179,"Ferry Point Park",6104,1,61,15
"SV",2,2180,"Ferry Point Park",6205,1,62,15
"SV",2,2181,"Ferry Point Park",6106,1,61,15
"SV",2,2182,"Ferry Point Park",6207,1,62,15
"SV",2,2183,"Ferry Point Park",6108,1,61,15
"SV",2,2184,"Ferry Point Park",6209,1,62,15
"SV",2,2185,"Ferry Point Park",6110,1,61,15
"SV",2,2186,"Ferry Point Park",6211,1,62,15
"SV",2,2187,"Ferry Point Park",6112,1,61,15
"SV",2,2188,"Wall St./Pier 11",6101,0,61,83
"SV",2,2189,"Wall St./Pier 11",6202,0,62,83
"SV",2,2190,"Wall St./Pier 11",6103,0,61,83
"SV",2,2191,"Wall St./Pier 11",6204,0,62,83
"SV",2,2192,"Wall St./Pier 11",6105,0,61,83
"SV",2,2193,"Wall St./Pier 11",6206,0,62,83
"SV",2,2194,"Wall St./Pier 11",6107,0,61,83
"SV",2,2195,"Wall St./Pier 11",6208,0,62,83
"SV",2,2196,"Wall St./Pier 11",6109,0,61,83
"SV",2,2197,"Wall St./Pier 11",6210,0,62,83
"SV",2,2198,"Wall St./Pier 11",6111,0,61,83
"SV",2,2199,"Wall St./Pier 11",6212,0,62,83
"RES",1,2200,"Rockaway",10101,0,101,44
"RES",1,2201,"Rockaway",10103,0,101,44
"RES",1,2202,"Rockaway",10105,0,101,44
"RES",1,2203,"Rockaway",10107,0,101,44
"RES",1,2204,"Rockaway",10109,0,101,44
"RES",1,2205,"Rockaway",10111,0,101,44
"RES",1,2206,"Rockaway",10113,0,101,44
"RES",1,2207,"Rockaway",10115,0,101,44
