trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
65,15:41:00,15:41:00,8,3,,0,0,1
65,15:51:00,15:51:00,19,4,,0,0,1
65,16:00:00,16:00:00,18,5,,0,0,1
65,16:08:00,16:08:00,17,6,,0,0,1
65,16:12:00,16:12:00,4,7,,0,0,1
66,15:43:00,15:43:00,87,1,,0,0,1
66,15:53:00,15:53:00,20,2,,0,0,1
66,16:05:00,16:05:00,8,3,,0,0,1
66,16:15:00,16:15:00,19,4,,0,0,1
66,16:24:00,16:24:00,18,5,,0,0,1
66,16:32:00,16:32:00,17,6,,0,0,1
66,16:36:00,16:36:00,4,7,,0,0,1
67,16:07:00,16:07:00,87,1,,0,0,1
67,16:17:00,16:17:00,20,2,,0,0,1
67,16:29:00,16:29:00,8,3,,0,0,1
67,16:39:00,16:39:00,19,4,,0,0,1
67,16:48:00,16:48:00,18,5,,0,0,1
67,16:56:00,16:56:00,17,6,,0,0,1
67,17:00:00,17:00:00,4,7,,0,0,1
68,16:31:00,16:31:00,87,1,,0,0,1
68,16:41:00,16:41:00,20,2,,0,0,1
68,16:53:00,16:53:00,8,3,,0,0,1
68,17:03:00,17:03:00,19,4,,0,0,1
68,17:12:00,17:12:00,18,5,,0,0,1
68,17:20:00,17:20:00,17,6,,0,0,1
68,17:24:00,17:24:00,4,7,,0,0,1
69,16:55:00,16:55:00,87,1,,0,0,1
69,17:05:00,17:05:00,20,2,,0,0,1
69,17:17:00,17:17:00,8,3,,0,0,1
69,17:27:00,17:27:00,19,4,,0,0,1
69,17:36:00,17:36:00,18,5,,0,0,1
69,17:44:00,17:44:00,17,6,,0,0,1
69,17:48:00,17:48:00,4,7,,0,0,1
70,17:19:00,17:19:00,87,1,,0,0,1
70,17:29:00,17:29:00,20,2,,0,0,1
70,17:41:00,17:41:00,8,3,,0,0,1
70,17:51:00,17:51:00,19,4,,0,0,1
70,18:00:00,18:00:00,18,5,,0,0,1
70,18:08:00,18:08:00,17,6,,0,0,1
70,18:12:00,18:12:00,4,7,,0,0,1
71,17:43:00,17:43:00,87,1,,0,0,1
71,17:53:00,17:53:00,20,2,,0,0,1
71,18:05:00,18:05:00,8,3,,0,0,1
71,18:15:00,18:15:00,19,4,,0,0,1
71,18:24:00,18:24:00,18,5,,0,0,1
71,18:32:00,18:32:00,17,6,,0,0,1
71,18:36:00,18:36:00,4,7,,0,0,1
72,18:07:00,18:07:00,87,1,,0,0,1
72,18:17:00,18:17:00,20,2,,0,0,1
72,18:29:00,18:29:00,8,3,,0,0,1
72,18:39:00,18:39:00,19,4,,0,0,1
72,18:48:00,18:48:00,18,5,,0,0,1
72,18:56:00,18:56:00,17,6,,0,0,1
72,19:00:00,19:00:00,4,7,,0,0,1
73,18:31:00,18:31:00,87,1,,0,0,1
73,18:41:00,18:41:00,20,2,,0,0,1
73,18:53:00,18:53:00,8,3,,0,0,1
73,19:03:00,19:03:00,19,4,,0,0,1
73,19:12:00,19:12:00,18,5,,0,0,1
73,19:20:00,19:20:00,17,6,,0,0,1
73,19:24:00,19:24:00,4,7,,0,0,1
74,18:55:00,18:55:00,87,1,,0,0,1
74,19:05:00,19:05:00,20,2,,0,0,1
74,19:17:00,19:17:00,8,3,,0,0,1
74,19:27:00,19:27:00,19,4,,0,0,1
74,19:36:00,19:36:00,18,5,,0,0,1
74,19:44:00,19:44:00,17,6,,0,0,1
